STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG
USW00093193,36.78,-119.7194,101.5,1950,12.38,63.4
USW00093193,36.78,-119.7194,101.5,1951,9.69,62.3
USW00093193,36.78,-119.7194,101.5,1952,15.56,62.4
USW00093193,36.78,-119.7194,101.5,1953,6.15,61.6
USW00093193,36.78,-119.7194,101.5,1954,9.85,61.7
USW00093193,36.78,-119.7194,101.5,1955,15.22,61
USW00093193,36.78,-119.7194,101.5,1956,6.65,61.4
USW00093193,36.78,-119.7194,101.5,1957,10.45,62
USW00093193,36.78,-119.7194,101.5,1958,16.48,63.7
USW00093193,36.78,-119.7194,101.5,1959,7.22,63.6
USW00093193,36.78,-119.7194,101.5,1960,9.58,62.8
USW00093193,36.78,-119.7194,101.5,1961,6.96,62.3
USW00093193,36.78,-119.7194,101.5,1962,9.59,62.3
USW00093193,36.78,-119.7194,101.5,1963,14.29,61.6
USW00093193,36.78,-119.7194,101.5,1964,8.45,61.6
USW00093193,36.78,-119.7194,101.5,1965,10.36,61.6
USW00093193,36.78,-119.7194,101.5,1966,6.07,63.2
USW00093193,36.78,-119.7194,101.5,1967,12.97,62.9
USW00093193,36.78,-119.7194,101.5,1968,10.5,63
USW00093193,36.78,-119.7194,101.5,1969,19.14,62
USW00093193,36.78,-119.7194,101.5,1970,11.87,63.5
USW00093193,36.78,-119.7194,101.5,1971,7,61.3
USW00093193,36.78,-119.7194,101.5,1972,7.49,62.4
USW00093193,36.78,-119.7194,101.5,1973,12.7,62.9
USW00093193,36.78,-119.7194,101.5,1974,9.31,63.5
USW00093193,36.78,-119.7194,101.5,1975,6.33,60.5
USW00093193,36.78,-119.7194,101.5,1976,11.06,61.2
USW00093193,36.78,-119.7194,101.5,1977,6.57,64
USW00093193,36.78,-119.7194,101.5,1978,17.69,64.2
USW00093193,36.78,-119.7194,101.5,1979,9.97,64.8
USW00093193,36.78,-119.7194,101.5,1980,10.3,64.1
USW00093193,36.78,-119.7194,101.5,1981,10.02,65
USW00093193,36.78,-119.7194,101.5,1982,16.09,61.6
USW00093193,36.78,-119.7194,101.5,1983,21.62,64.3
USW00093193,36.78,-119.7194,101.5,1984,6.78,65.3
USW00093193,36.78,-119.7194,101.5,1985,8.42,63.8
USW00093193,36.78,-119.7194,101.5,1986,12.43,65.9
USW00093193,36.78,-119.7194,101.5,1987,9.2,64.1
USW00093193,36.78,-119.7194,101.5,1988,9.4,64.1
USW00093193,36.78,-119.7194,101.5,1989,6.91,63.6
USW00093193,36.78,-119.7194,101.5,1990,8.72,63.6
USW00093193,36.78,-119.7194,101.5,1991,10.49,64.2
USW00093193,36.78,-119.7194,101.5,1992,14.09,65.5
USW00093193,36.78,-119.7194,101.5,1993,13.76,64.1
USW00093193,36.78,-119.7194,101.5,1994,10.13,63.7
USW00093193,36.78,-119.7194,101.5,1995,17.28,64.8
USW00093193,36.78,-119.7194,101.5,1996,17,65.1
USW00093193,36.78,-119.7194,101.5,1997,7.7,64.8
USW00093193,36.78,-119.7194,101.5,1998,17.67,62.3
USW00093193,36.78,-119.7194,101.5,1999,6.17,63.3
USW00093193,36.78,-119.7194,101.5,2000,15.24,64.2
USW00093193,36.78,-119.7194,101.5,2001,12.06,65.1
USW00093193,36.78,-119.7194,101.5,2002,6.75,64.5
USW00093193,36.78,-119.7194,101.5,2003,9.14,65.4
USW00093193,36.78,-119.7194,101.5,2004,10.64,64.7
USW00093193,36.78,-119.7194,101.5,2005,11.69,65.1
USW00093193,36.78,-119.7194,101.5,2006,13.96,64.5
USW00093193,36.78,-119.7194,101.5,2007,7.04,64.5
USW00093193,36.78,-119.7194,101.5,2008,8.48,65.1
USW00093193,36.78,-119.7194,101.5,2009,9.08,65
USW00093193,36.78,-119.7194,101.5,2010,16.54,64.1
USW00093193,36.78,-119.7194,101.5,2011,10.93,63.6
USW00093193,36.78,-119.7194,101.5,2012,9.99,66.7
USW00093193,36.78,-119.7194,101.5,2013,3.02,66.8
USW00093193,36.78,-119.7194,101.5,2014,7.47,69
USW00093193,36.78,-119.7194,101.5,2015,9,66.5
USW00093193,36.78,-119.7194,101.5,2016,13.67,66.3
USW00093193,36.78,-119.7194,101.5,2017,13.2,66.2
USW00093193,36.78,-119.7194,101.5,2018,8.66,66.9
USW00093193,36.78,-119.7194,101.5,2019,12.42,66.2
USW00093193,36.78,-119.7194,101.5,2020,6.18,67
